CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NoAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
PracticeBlock,ResnetAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"test",3
TestBlock,NoAOIAugmentationState,RLS_051_OS_TC,S,G,"test",3
TestBlock,NoAOIAugmentationState,8962_OS_2021_widefield_report,S,G,"test",3
TestBlock,NoAOIAugmentationState,RLS_079_OD_TC,G,G,"test",3
TestBlock,NoAOIAugmentationState,RLS_081_OD_TC,S,G,"estsafsdf",3
TestBlock,NoAOIAugmentationState,RLS_036_OS_TC,G,G,"test",3
TestBlock,NoAOIAugmentationState,RLS_097_OD_TC,G,G,"test",3
TestBlock,ResnetAOIAugmentationState,RLS_045_OD_TC,G,G,"test",3
TestBlock,ResnetAOIAugmentationState,9025_OD_2021_widefield_report,G,G,"test",3
TestBlock,ResnetAOIAugmentationState,9005_OS_2021_widefield_report,S_Suspects,G,"test",3
TestBlock,ResnetAOIAugmentationState,RLS_053_OD_TC,S,G,"test",3
TestBlock,ResnetAOIAugmentationState,RLS_038_OD_TC,S,S,"test",3
TestBlock,ResnetAOIAugmentationState,RLS_083_OD_TC,G,G,"test",3
TestBlock,StaticAOIAugmentationState,RLS_148_OD_TC,S,G,"test",3
TestBlock,StaticAOIAugmentationState,RLS_078_OS_TC,S,S,"test",2
TestBlock,StaticAOIAugmentationState,9140_OD_2021_widefield_report,G,S,"testsfsadf",2
TestBlock,StaticAOIAugmentationState,RLS_060_OS_TC,G,S,"test",2
TestBlock,StaticAOIAugmentationState,RLS_092_OS_TC,G_Suspects_2,S,"testasf",2
TestBlock,StaticAOIAugmentationState,RLS_064_OS_TC,S,G,"asf",3
