CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,StaticAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"tet",3
PracticeBlock,InteractiveAOIAugmentationState,9071_OD_2021_widefield_report,G,G,"testasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_081_OD_TC,S,G,"tesefasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_092_OS_TC,G_Suspects_2,G,"tsfsadf",3
TestBlock,InteractiveAOIAugmentationState,RLS_064_OS_TC,S,S,"tasdfasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_086_OS_TC,G,G,"taset",3
TestBlock,InteractiveAOIAugmentationState,9140_OD_2021_widefield_report,G,G,"tsasdfasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_051_OS_TC,S,G,"tesasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_079_OD_TC,G,G,"taset",3
TestBlock,InteractiveAOIAugmentationState,8962_OS_2021_widefield_report,S,G,"testasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_148_OS_TC,S,G,"tsetasdf",3
TestBlock,InteractiveAOIAugmentationState,RLS_060_OS_TC,G,G,"tsdasdf",3
TestBlock,StaticAOIAugmentationState,9005_OS_2021_widefield_report,S_Suspects,S,"tesfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_078_OS_TC,S,S,"tefasdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_036_OS_TC,G,G,"tesadfasdf",3
TestBlock,StaticAOIAugmentationState,9025_OD_2021_widefield_report,G,G,"tsdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_097_OD_TC,G,G,"tsdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_045_OD_TC,G,G,"tasdfasf",3
TestBlock,StaticAOIAugmentationState,RLS_148_OD_TC,S,S,"tsdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_083_OD_TC,G,S,"tasdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_038_OD_TC,S,G,"tefasdfasdf",3
TestBlock,StaticAOIAugmentationState,RLS_053_OD_TC,S,S,"teasdfasfe",3
