CurrentBlock,InteractionMode,ImageName,GlaucomaGroundTruth,GlaucomaDecision,Message,DecisionConfidenceLevel
PracticeBlock,NoAOIAugmentationState,067_wet,wet,S,"sss",3
PracticeBlock,StaticAOIAugmentationState,067_wet,wet,S,"sss",3
TestBlock,StaticAOIAugmentationState,039_wet,wet,S,"sss",3
TestBlock,StaticAOIAugmentationState,084_normal,normal,S,"sss",3
TestBlock,StaticAOIAugmentationState,035_wet,wet,S,"sss",3
TestBlock,StaticAOIAugmentationState,047_normal,normal,S,"sss",3
TestBlock,StaticAOIAugmentationState,094_wet,wet,G,"sss",3
TestBlock,StaticAOIAugmentationState,107_wet,wet,S,"sss",3
TestBlock,StaticAOIAugmentationState,078_normal,normal,S,"sss",3
TestBlock,StaticAOIAugmentationState,069_normal,normal,S,"sss",3
TestBlock,StaticAOIAugmentationState,041_normal,normal,S,"sss",3
TestBlock,StaticAOIAugmentationState,012_wet,wet,S,"sss",3
TestBlock,NoAOIAugmentationState,048_normal,normal,S,"sss",3
TestBlock,NoAOIAugmentationState,048_normal,normal,S,"ssss",3
TestBlock,NoAOIAugmentationState,035_normal,normal,S,"ssss",3
TestBlock,NoAOIAugmentationState,059_normal,normal,S,"sss",3
TestBlock,NoAOIAugmentationState,081_wet,wet,S,"sss",3
TestBlock,NoAOIAugmentationState,038_normal,normal,S,"sss",3
TestBlock,NoAOIAugmentationState,038_normal,normal,S,"sss",3
TestBlock,NoAOIAugmentationState,115_wet,wet,S,"sss",3
TestBlock,NoAOIAugmentationState,111_wet,wet,S,"sss",3
TestBlock,NoAOIAugmentationState,091_normal,normal,S,"sss",3
